crop_name,category,district,agro_zone,N,P,K,temperature,ph,rainfall
Durian,Fruits,Kandy,Mid Country Wet Zone,40,40,50,25.0,6.0,2100
Passion Fruit,Fruits,Nuwara Eliya,Up Country Wet Zone,25,35,40,18.0,5.8,2200
Guava (Pubudu),Fruits,Puttalam,Dry Zone,30,30,35,29.0,6.8,1200
Lime (Elumichai),Fruits,Moneragala,Dry Zone,30,35,40,28.5,6.5,1400
King Coconut (Thambili),Fruits,Colombo,Low Country Wet Zone,20,20,35,28.0,6.2,2400
Woodapple (Divul),Fruits,Hambantota,Dry Zone,15,20,20,29.5,7.2,950
Dragon Fruit,Fruits,Puttalam,Dry Zone,25,30,40,29.0,6.8,1100
Grapes,Fruits,Jaffna,Dry Zone,25,35,50,29.5,7.5,1000
Avocado,Fruits,Kandy,Mid Country Wet Zone,35,40,45,24.0,6.0,2000
Soursop (Anona),Fruits,Galle,Low Country Wet Zone,20,25,30,27.5,5.8,2400
Jackfruit (Kos/Waraka),Fruits,Kurunegala,Intermediate Zone,25,30,35,28.0,6.5,1700
Breadfruit (Del),Fruits,Kalutara,Low Country Wet Zone,25,25,30,27.5,5.8,2600
Pomegranate,Fruits,Puttalam,Dry Zone,25,30,35,29.0,7.0,1000
Star Fruit (Kamaranga),Fruits,Ratnapura,Low Country Wet Zone,20,20,25,27.0,5.5,2800
Strawberry,Fruits,Nuwara Eliya,Up Country Wet Zone,30,40,45,15.0,5.5,2200
Mandarin Orange,Fruits,Badulla,Up Country Intermediate Zone,30,40,40,21.0,6.0,1800
Cashew,Nuts,Puttalam,Dry Zone,20,25,25,29.0,6.5,1200
Cinnamon (Kurundu),Spices,Galle,Low Country Wet Zone,20,25,30,27.5,5.5,2500
Black Pepper,Spices,Matale,Mid Country Intermediate Zone,40,30,50,26.0,6.2,1600
Cardamom,Spices,Kandy,Mid Country Wet Zone,20,25,35,22.0,5.8,2200
Clove (Karambu),Spices,Kegalle,Mid Country Wet Zone,30,35,40,26.5,6.0,2400
Nutmeg (Jathikkai),Spices,Kegalle,Mid Country Wet Zone,30,35,40,26.5,6.0,2400
Ginger,Spices,Kurunegala,Intermediate Zone,40,40,50,27.5,6.2,1800
Turmeric (Manjal),Spices,Gampaha,Low Country Wet Zone,35,35,45,28.0,6.0,2200
Vanilla,Spices,Kandy,Mid Country Wet Zone,20,20,25,24.0,6.0,2000
Goraka (Garcinia),Spices,Ratnapura,Low Country Wet Zone,20,20,25,27.0,5.5,2800
Tamarind (Puli),Spices,Mannar,Dry Zone,15,20,20,30.0,7.5,900
Arecanut (Paakku),Commercial,Kegalle,Mid Country Wet Zone,25,25,30,26.5,6.0,2400
Betel Leaf (Vetrilai),Commercial,Gampaha,Low Country Wet Zone,40,30,35,28.0,6.2,2200
Tea (High Grown),Beverage,Nuwara Eliya,Up Country Wet Zone,25,120,190,16.0,4.8,2400
Tea (Medium Grown),Beverage,Kandy,Mid Country Wet Zone,25,115,185,24.0,5.0,2100
Tea (Low Grown),Beverage,Ratnapura,Low Country Wet Zone,25,110,180,27.0,5.2,2800
Coffee (Robusta),Beverage,Kegalle,Mid Country Wet Zone,30,35,40,26.0,6.0,2300
Coffee (Arabica),Beverage,Nuwara Eliya,Up Country Wet Zone,30,40,40,18.0,5.8,2100
Cocoa,Beverage,Matale,Mid Country Intermediate Zone,25,30,35,26.0,6.2,1600
Rubber,Plantation,Kalutara,Low Country Wet Zone,30,30,40,27.5,5.5,2800
Coconut,Plantation,Kurunegala,Intermediate Zone,20,20,30,28.0,6.5,1800
Sugarcane,Plantation,Moneragala,Dry Zone,100,50,80,28.5,6.5,1400
Palmyra,Plantation,Jaffna,Dry Zone,15,15,20,29.5,7.5,1000
Tobacco,Cash Crop,Jaffna,Dry Zone,50,40,60,29.5,7.2,1100
Citronella,Aromatic,Matara,Low Country Wet Zone,20,20,20,27.5,6.0,2200
Lemongrass,Aromatic,Badulla,Up Country Intermediate Zone,20,20,20,22.0,6.2,1700
Kithul Palm,Commercial,Ratnapura,Low Country Wet Zone,20,20,20,27.0,5.5,2900
Oil Palm,Plantation,Kalutara,Low Country Wet Zone,80,40,120,27.5,5.2,2800
